|V|	|E|	time	approx
100	2486	1.09	53846
100	2487	0.836	43956
100	2508	0.922	51191
100	2508	0.873	47165
100	2489	0.778	44931
100	2503	0.75	47252
100	2497	0.888	51979
100	2353	1	41180
100	2444	1.35	47321
100	2505	1.23	46753
100	2479	1.07	49990
100	2478	0.82	53726
100	2557	1.37	47296
100	2456	1.17	49783
100	2498	1.1	48084
100	2482	1.08	49624
100	2430	0.833	49456
100	2467	0.899	49350
100	2458	1.12	46519
100	2519	0.926	48912
100	2460	0.902	44648
100	2443	0.867	48230
100	2433	0.794	45746
100	2482	1.11	49463
100	2491	0.828	47321
100	2424	0.788	52603
100	2515	0.858	47330
100	2534	1.11	44656
100	2506	0.927	48779
100	2438	0.878	48499
100	2424	0.895	45059
100	2490	1.31	45837
100	2447	1.16	49986
100	2489	0.975	53910
100	2506	1.18	47223
100	2479	0.973	48598
100	2432	1.18	46886
100	2463	1.25	47164
100	2493	1.03	49375
100	2458	0.941	51177
100	2475	1.03	51573
100	2464	0.899	48087
100	2547	0.994	47876
100	2495	1.18	46993
100	2466	0.884	45441
100	2528	1.24	46577
100	2523	1.29	50829
100	2484	0.903	52039
100	2515	0.947	48556
100	2514	1.03	47489
100	2475	1.05	51538
100	2482	0.821	50551
100	2475	0.896	51740
100	2466	0.94	45934
100	2437	0.881	47801
100	2405	0.758	49106
100	2434	0.903	50314
100	2482	0.997	51393
100	2465	0.919	49436
100	2483	1.2	47149
100	2463	0.86	46024
100	2517	1.5	46499
100	2537	0.935	49637
100	2410	0.81	47320
100	2553	0.944	50657
100	2507	1.02	48096
100	2489	1.15	44589
100	2465	0.902	51861
100	2428	0.839	51672
100	2491	0.873	52788
100	2448	1.18	47893
100	2486	1.14	44918
100	2457	0.915	43303
100	2490	0.94	47296
100	2471	0.989	51962
100	2466	1.15	46971
100	2483	1.11	50112
100	2439	1.2	46543
100	2448	0.835	50207
100	2421	1.03	44181
100	2436	1.08	50039
100	2453	1.09	51208
100	2500	1.12	49000
100	2470	1	47832
100	2511	0.863	52785
100	2471	1.2	49292
100	2530	0.935	44864
100	2438	0.835	47159
100	2491	1.06	47998
100	2406	0.971	44173
100	2456	0.921	48750
100	2494	0.919	50768
100	2475	0.811	50016
100	2496	1.03	53759
100	2504	0.851	47018
100	2453	1.1	54327
100	2483	0.954	42804
100	2409	0.91	47392
100	2489	1	51523
100	2535	0.86	50214
100	2501	1.22	48948
100	2498	0.872	41836
100	2470	0.873	46533
100	2506	0.943	48048
100	2451	1.14	44013
100	2409	0.846	45821
100	2426	0.977	42240
100	2463	1.19	47144
100	2501	0.902	50751
100	2482	1.22	45430
100	2504	0.993	49388
100	2519	1.03	48355
100	2451	0.835	42208
100	2529	1.29	47359
100	2492	0.851	51216
100	2516	1.15	48452
100	2476	1.02	46778
100	2463	0.835	45289
100	2478	1.18	48090
100	2489	0.807	46848
